"datacenter","county","operator","voltage_kv","transmission_owner","distance_km"
"PowerHouse Irving - Building C","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","5.26"
"PowerHouse Irving - Building B","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","5.40"
"QTS Irving DC5","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.72"
"QTS Irving DC6","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.72"
"ColoHouse Dallas","Denton","ColoHouse","138","ONCOR ELECTRIC DELIVERY CO.","5.94"
"LightEdge - Dallas","Denton","LightEdge","138","ONCOR ELECTRIC DELIVERY CO.","5.77"
"PowerHouse Irving Campus","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","5.32"
"Eonix Communications Dallas","Dallas","Eonix Communications Inc","138","ONCOR ELECTRIC DELIVERY CO.","8.63"
"IRVING-TX (Dallas, Texas)","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","2.07"
"CyrusOne DFW2 - Lewsiville","Denton","DFW2 Spec Sheet","138","ONCOR ELECTRIC DELIVERY CO.","9.61"
"QTS Irving Campus","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.59"
"Centersquare - Dallas DFW1","Tarrant","Centersquare","138","ONCOR ELECTRIC DELIVERY CO.","9.43"
"QTS Irving DC1 & DC2","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.58"
"QTS Irving DC3","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.85"
"PowerHouse Irving - Building A","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","5.76"
"PowerHouse Irving - Building C","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","5.49"
"PowerHouse Irving - Building B","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","5.62"
"QTS Irving DC5","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.84"
"QTS Irving DC6","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.84"
"LightEdge - Dallas","Denton","LightEdge","138","ONCOR ELECTRIC DELIVERY CO.","9.48"
"PowerHouse Irving Campus","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","5.54"
"Eonix Communications Dallas","Dallas","Eonix Communications Inc","138","ONCOR ELECTRIC DELIVERY CO.","9.39"
"IRVING-TX (Dallas, Texas)","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","6.90"
"Prime Dallas Data Center Campus","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","3.19"
"Equinix DA1","Dallas","Equinix DA1 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","9.94"
"Equinix DA6","Dallas","Equinix DA6 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","9.89"
"CoreSpace Dallas Data Center","Dallas","Cummins Gen","138","ONCOR ELECTRIC DELIVERY CO.","4.71"
"Centersquare - Dallas DFW3-A","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","8.38"
"Equinix DA2","Dallas","Equinix DA2 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","9.94"
"Equinix DA11","Dallas","Equinix DA11 Specsheet","138","ONCOR ELECTRIC DELIVERY CO.","9.77"
"Prime Dallas - Data Center 1","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","3.24"
"TierPoint Dallas","Dallas","TierPoint","138","ONCOR ELECTRIC DELIVERY CO.","6.50"
"Prime Dallas - Data Center 2","Dallas","Prime Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","3.24"
"Equinix DA3","Dallas","Equinix","138","ONCOR ELECTRIC DELIVERY CO.","9.94"
"DataBank DFW5 - Dallas Infomart","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","9.92"
"DataBank DFW6 - Dallas Love Field","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","4.43"
"Infomart Dallas","Dallas","Equinix","138","ONCOR ELECTRIC DELIVERY CO.","9.92"
"Edged Dallas-Fort Worth DFW01","Dallas","Edged Energy","138","ONCOR ELECTRIC DELIVERY CO.","2.96"
"DataBank DFW4 - Dallas Empire","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","4.38"
"ColoCrossing DFW1","Dallas","ColoCrossing","138","ONCOR ELECTRIC DELIVERY CO.","6.52"
"Equinix DA9","Dallas","Equinix","138","ONCOR ELECTRIC DELIVERY CO.","1.56"
"Cogent Data Center - Irving","Dallas","Cogent Communications, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","1.51"
"ServerMania Dallas Data Center","Dallas","ServerMania Inc","138","ONCOR ELECTRIC DELIVERY CO.","6.54"
"QTS Irving Campus","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","7.38"
"Epic.io Dallas Data Center","Dallas","Epic.io","138","ONCOR ELECTRIC DELIVERY CO.","4.12"
"QTS Irving DC1 & DC2","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","7.39"
"Tier.Net Dallas Data Center","Dallas","TierNet","138","ONCOR ELECTRIC DELIVERY CO.","3.24"
"QTS Irving DC3","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","7.12"
"Wowrack Dallas","Dallas","Wowrack","138","ONCOR ELECTRIC DELIVERY CO.","6.00"
"Psychz Dallas","Dallas","Psychz Networks","138","ONCOR ELECTRIC DELIVERY CO.","3.24"
"Lumen Dallas 2","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","9.95"
"8435 Stemmons Freeway (DFW36)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","4.05"
"Cologix DAL1","Dallas","Cologix","138","ONCOR ELECTRIC DELIVERY CO.","9.88"
"Cologix DAL2","Dallas","Cologix","138","ONCOR ELECTRIC DELIVERY CO.","9.94"
"Cologix DAL3","Dallas","Cologix","138","ONCOR ELECTRIC DELIVERY CO.","9.94"
"Flexential Dallas - Downtown Data Center","Dallas","Flexential","138","ONCOR ELECTRIC DELIVERY CO.","9.88"
"Hivelocity - Dallas 1","Dallas","Hivelocity","138","ONCOR ELECTRIC DELIVERY CO.","3.24"
"IBM DAL01","Dallas","IBM","138","ONCOR ELECTRIC DELIVERY CO.","9.92"
"PowerHouse Irving - Building A","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","4.81"
"PowerHouse Irving - Building C","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","4.96"
"PowerHouse Irving - Building B","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","4.87"
"STACK Infrastructure","Dallas","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","9.88"
"Lumen Dallas","Dallas","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","3.12"
"QTS Irving DC5","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","7.16"
"QTS Irving DC6","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","7.16"
"Lumen Dallas","Dallas","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","5.78"
"PowerHouse Irving Campus","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","4.90"
"NocRoom Dallas Colocation and VPS","Dallas","NocRoom Miami Colocation VPS","138","ONCOR ELECTRIC DELIVERY CO.","5.29"
"Lunavi Dallas","Dallas","Lunavi","138","ONCOR ELECTRIC DELIVERY CO.","9.92"
"Eonix Communications Dallas","Dallas","Eonix Communications Inc","138","ONCOR ELECTRIC DELIVERY CO.","4.49"
"IRVING-TX (Dallas, Texas)","Dallas","Follow on LinkedIn","138","NOT AVAILABLE","6.80"
"Prime Dallas Data Center Campus","Dallas","Follow on LinkedIn","138","NOT AVAILABLE","6.42"
"CoreSpace Dallas Data Center","Dallas","Cummins Gen","138","NOT AVAILABLE","8.74"
"Centersquare - Dallas DFW3-A","Dallas","Follow on LinkedIn","138","NOT AVAILABLE","3.38"
"Alpha Data Center","Dallas","Follow on LinkedIn","138","NOT AVAILABLE","7.58"
"Prime Dallas - Data Center 1","Dallas","Follow on LinkedIn","138","NOT AVAILABLE","6.44"
"Prime Dallas - Data Center 2","Dallas","Prime Data Centers","138","NOT AVAILABLE","6.44"
"Serverphase Data Center","Dallas","M&A Technology Inc.","138","NOT AVAILABLE","9.38"
"DataBank DFW6 - Dallas Love Field","Dallas","DataBank","138","NOT AVAILABLE","6.89"
"Edged Dallas-Fort Worth DFW01","Dallas","Edged Energy","138","NOT AVAILABLE","8.42"
"DataBank DFW4 - Dallas Empire","Dallas","DataBank","138","NOT AVAILABLE","8.27"
"Equinix DA9","Dallas","Equinix","138","NOT AVAILABLE","6.99"
"Cogent Data Center - Irving","Dallas","Cogent Communications, Inc.","138","NOT AVAILABLE","6.83"
